#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Price,Volume,Market VWAP,Buyer ID,Bid Price,Bid Size,Seller ID,Ask Price,Ask Size,Qualifiers,Exch Time,Date,Tick Dir.,Open,High,Low,Turnover
PXA.AX,,Market Price,2025-01-15 10:07:00.385481831+11:00,Trade,12.7,32.0,12.738554,,12.7,539.0,,12.95,318.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:00.259000000,2025-01-14,v,12.74,12.74,12.7,11273.62
PXA.AX,,Market Price,2025-01-15 10:07:00.386427683+11:00,Trade,12.7,14.0,12.737953,,12.7,539.0,,12.95,318.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:00.259000000,2025-01-14,v,12.74,12.74,12.7,11451.42
PXA.AX,,Market Price,2025-01-15 10:07:00.386427683+11:00,Trade,12.7,4.0,12.737785,,12.7,539.0,,12.95,318.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:00.259000000,2025-01-14,v,12.74,12.74,12.7,11502.22
PXA.AX,,Market Price,2025-01-15 10:07:00.386427683+11:00,Trade,12.7,4.0,12.737619,,12.7,539.0,,12.95,318.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:00.259000000,2025-01-14,v,12.74,12.74,12.7,11553.02
PXA.AX,,Market Price,2025-01-15 10:07:02.465480676+11:00,Trade,12.72,55.0,12.736611,,12.72,958.0,,12.92,45.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:02.338000000,2025-01-14,^,12.74,12.74,12.7,12252.62
PXA.AX,,Market Price,2025-01-15 10:07:15.895453657+11:00,Trade,12.79,10.0,12.73716,,12.79,10.0,,12.89,310.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:15.768000000,2025-01-14,^,12.74,12.79,12.7,12380.52
PXA.AX,,Market Price,2025-01-15 10:07:15.896295370+11:00,Trade,12.78,8.0,12.73751,,12.79,10.0,,12.89,310.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:15.768000000,2025-01-14,v,12.74,12.79,12.7,12482.76
PXA.AX,,Market Price,2025-01-15 10:07:15.896295370+11:00,Trade,12.78,4.0,12.737683,,12.79,10.0,,12.89,310.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:07:15.768000000,2025-01-14,v,12.74,12.79,12.7,12533.88
PXA.AX,,Market Price,2025-01-15 10:11:15.760473307+11:00,Trade,12.9,14.0,12.73996,,12.86,1204.0,,12.9,64.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:15.637000000,2025-01-14,^,12.74,12.9,12.7,12714.48
PXA.CHA,,Market Price,2025-01-15 10:11:21.484570847+11:00,Trade,12.9,23.0,12.9,,12.87,213.0,,12.9,34.0,"[GV4_TEXT];Y  [ELIGBL_TRD];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:11:21.360125000,2025-01-14,^,12.9,12.9,12.9,297.0
PXA.CHA,,Market Price,2025-01-15 10:11:21.484570847+11:00,Trade,12.9,24.0,12.9,,12.87,213.0,,12.9,10.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:11:21.360125000,2025-01-14, ,12.9,12.9,12.9,606.0
PXA.CHA,,Market Price,2025-01-15 10:11:21.484570847+11:00,Trade,12.9,10.0,12.9,,12.87,213.0,,12.91,184.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:11:21.360125000,2025-01-14, ,12.9,12.9,12.9,735.0
PXA.AX,,Market Price,2025-01-15 10:11:21.485555418+11:00,Trade,12.91,50.0,12.748073,,12.87,2730.0,,12.91,226.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.359000000,2025-01-14,^,12.74,12.91,12.7,13359.98
PXA.AX,,Market Price,2025-01-15 10:11:21.485555418+11:00,Trade,12.91,120.0,12.764709,,12.87,2730.0,,12.91,226.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.359000000,2025-01-14,^,12.74,12.91,12.7,14909.18
PXA.AX,,Market Price,2025-01-15 10:11:21.485555418+11:00,Trade,12.91,38.0,12.769287,,12.87,2730.0,,12.91,226.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.359000000,2025-01-14,^,12.74,12.91,12.7,15399.76
PXA.AX,,Market Price,2025-01-15 10:11:21.485555418+11:00,Trade,12.91,18.0,12.771356,,12.87,2730.0,,12.91,226.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.359000000,2025-01-14,^,12.74,12.91,12.7,15632.14
PXA.AX,,Market Price,2025-01-15 10:11:21.485555418+11:00,Trade,12.91,5.0,12.77192,,12.89,171.0,,12.91,5.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.361000000,2025-01-14,^,12.74,12.91,12.7,15696.69
PXA.AX,,Market Price,2025-01-15 10:11:21.490417892+11:00,Trade,12.91,2.0,12.772145,,12.89,101.0,,12.91,2.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.366000000,2025-01-14,^,12.74,12.91,12.7,15722.51
PXA.AX,,Market Price,2025-01-15 10:11:21.490530306+11:00,Trade,12.91,3.0,12.77248,,12.91,3.0,,12.92,311.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.366000000,2025-01-14,^,12.74,12.91,12.7,15761.24
PXA.CHA,,Market Price,2025-01-15 10:11:21.493878645+11:00,Trade,12.91,11.0,12.9016,,12.89,20.0,,12.91,16.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:11:21.371675000,2025-01-14,^,12.9,12.91,12.9,877.0
PXA.CHA,,Market Price,2025-01-15 10:11:21.659781143+11:00,Trade,12.91,16.0,12.9032,,12.89,170.0,,12.93,94.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:11:21.532156000,2025-01-14, ,12.9,12.91,12.9,1084.0
PXA.AX,,Market Price,2025-01-15 10:11:22.085454353+11:00,Trade,12.91,12.0,12.773804,,12.91,606.0,,12.92,128.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:21.962000000,2025-01-14,^,12.74,12.91,12.7,15916.16
PXA.AX,,Market Price,2025-01-15 10:11:22.926216781+11:00,Trade,12.92,12.0,12.775199,,12.91,342.0,,12.92,12.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:11:22.802000000,2025-01-14,^,12.74,12.92,12.7,16071.2
PXA.AX,,Market Price,2025-01-15 10:14:51.755911090+11:00,Trade,12.96,7.0,12.776221,,12.92,1232.0,,12.96,260.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.632000000,2025-01-14,^,12.74,12.96,12.7,16161.92
PXA.CHA,,Market Price,2025-01-15 10:14:51.759413551+11:00,Trade,12.95,20.0,12.9122,,12.92,382.0,,12.97,190.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:14:51.634025000,2025-01-14,^,12.9,12.95,12.9,1343.0
PXA.AX,,Market Price,2025-01-15 10:14:51.760952889+11:00,Trade,12.95,101.0,12.78907,,12.95,101.0,,12.96,185.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.634000000,2025-01-14,v,12.74,12.96,12.7,17469.87
PXA.AX,,Market Price,2025-01-15 10:14:51.765866744+11:00,Trade,12.95,8.0,12.790007,,12.95,8.0,,12.96,260.0,S[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],23:14:51.641000000,2025-01-14,v,12.74,12.96,12.7,17573.47
PXA.AX,,Market Price,2025-01-15 10:14:51.765866744+11:00,Trade,12.95,2.0,12.79024,,12.93,150.0,,12.96,232.0,S[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],23:14:51.641000000,2025-01-14,v,12.74,12.96,12.7,17599.37
PXA.CHA,,Market Price,2025-01-15 10:14:51.909754591+11:00,Trade,12.95,52.0,12.9248,,12.92,240.0,,12.96,41.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:14:51.785168000,2025-01-14, ,12.9,12.95,12.9,2016.0
PXA.AX,,Market Price,2025-01-15 10:14:51.916315674+11:00,Trade,12.95,22.0,12.792754,,12.95,22.0,,12.96,232.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.788000000,2025-01-14,v,12.74,12.96,12.7,17884.27
PXA.AX,,Market Price,2025-01-15 10:14:51.916315674+11:00,Trade,12.95,22.0,12.79519,,12.95,22.0,,12.96,232.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.793000000,2025-01-14,v,12.74,12.96,12.7,18169.17
PXA.CHA,,Market Price,2025-01-15 10:14:51.919711929+11:00,Trade,12.95,111.0,12.9353,,12.93,20.0,,12.96,11.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:14:51.792326000,2025-01-14, ,12.9,12.95,12.9,3454.0
PXA.CHA,,Market Price,2025-01-15 10:14:51.919711929+11:00,Trade,12.95,20.0,12.9363,,12.93,170.0,,12.96,11.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:14:51.793167000,2025-01-14, ,12.9,12.95,12.9,3713.0
PXA.CHA,,Market Price,2025-01-15 10:14:51.919711929+11:00,Trade,12.95,20.0,12.9372,,12.93,170.0,,12.96,11.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:14:51.793690000,2025-01-14, ,12.9,12.95,12.9,3972.0
PXA.AX,,Market Price,2025-01-15 10:14:51.921186505+11:00,Trade,12.95,22.0,12.797552,,12.95,22.0,,12.96,232.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.793000000,2025-01-14,v,12.74,12.96,12.7,18454.07
PXA.AX,,Market Price,2025-01-15 10:14:51.921186505+11:00,Trade,12.95,100.0,12.807438,,12.92,1010.0,,12.96,232.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.796000000,2025-01-14,v,12.74,12.96,12.7,19749.07
PXA.AX,,Market Price,2025-01-15 10:14:51.921186505+11:00,Trade,12.95,97.0,12.815876,,12.92,1010.0,,12.96,232.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:14:51.797000000,2025-01-14,v,12.74,12.96,12.7,21005.22
PXA.AX,,Market Price,2025-01-15 10:18:41.940454581+11:00,Trade,12.96,11.0,12.816836,,12.94,97.0,,12.96,214.0,B[ACT_FLAG1];XT[GV4_TEXT];XT[LSTSALCOND],23:18:41.815000000,2025-01-14,^,12.74,12.96,12.7,21147.78
PXA.AX,,Market Price,2025-01-15 10:18:56.615442729+11:00,Trade,12.94,10.0,12.817578,,12.94,97.0,,12.96,203.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:18:56.489000000,2025-01-14,v,12.74,12.96,12.7,21277.18
PXA.CHA,,Market Price,2025-01-15 10:19:21.838919170+11:00,Trade,12.96,11.0,12.938,,12.94,7.0,,12.96,141.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:19:21.714536000,2025-01-14,^,12.9,12.96,12.9,4114.0
PXA.CHA,,Market Price,2025-01-15 10:19:21.839760256+11:00,Trade,12.96,1.0,12.9381,,12.94,7.0,,12.96,140.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:19:21.714536000,2025-01-14, ,12.9,12.96,12.9,4127.0
PXA.AX,,Market Price,2025-01-15 10:19:46.730491892+11:00,Trade,12.94,67.0,12.822328,,12.94,87.0,,12.96,395.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:46.607000000,2025-01-14,v,12.74,12.96,12.7,22144.16
PXA.AX,,Market Price,2025-01-15 10:19:46.731229300+11:00,Trade,12.94,18.0,12.823542,,12.94,87.0,,12.96,395.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:46.607000000,2025-01-14,v,12.74,12.96,12.7,22377.08
PXA.AX,,Market Price,2025-01-15 10:19:46.731229300+11:00,Trade,12.94,2.0,12.823675,,12.94,87.0,,12.96,395.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:46.607000000,2025-01-14,v,12.74,12.96,12.7,22402.96
PXA.CHA,,Market Price,2025-01-15 10:19:46.733950231+11:00,Trade,12.94,7.0,12.9381,,12.93,165.0,,12.96,290.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:19:46.607488000,2025-01-14,v,12.9,12.96,12.9,4218.0
PXA.CHA,,Market Price,2025-01-15 10:19:47.554873367+11:00,Trade,12.93,15.0,12.9377,,12.92,129.0,,12.95,52.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",23:19:47.431454000,2025-01-14,v,12.9,12.96,12.9,4412.0
PXA.AX,,Market Price,2025-01-15 10:19:47.555605847+11:00,Trade,12.93,9.0,12.82422,,12.93,156.0,,12.94,125.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.431000000,2025-01-14,v,12.74,12.96,12.7,22519.33
PXA.AX,,Market Price,2025-01-15 10:19:47.555605847+11:00,Trade,12.93,8.0,12.8247,,12.93,156.0,,12.94,125.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.431000000,2025-01-14,v,12.74,12.96,12.7,22622.77
PXA.AX,,Market Price,2025-01-15 10:19:47.555605847+11:00,Trade,12.93,138.0,12.83234,,12.92,172.0,,12.94,125.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.431000000,2025-01-14,v,12.74,12.96,12.7,24407.11
PXA.AX,,Market Price,2025-01-15 10:19:47.555605847+11:00,Trade,12.93,1.0,12.832391,,12.92,172.0,,12.94,125.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.431000000,2025-01-14,v,12.74,12.96,12.7,24420.04
PXA.AX,,Market Price,2025-01-15 10:19:47.655466477+11:00,Trade,12.92,2.0,12.832483,,12.92,23.0,,12.94,464.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.528000000,2025-01-14,v,12.74,12.96,12.7,24445.88
PXA.AX,,Market Price,2025-01-15 10:19:47.656155611+11:00,Trade,12.92,20.0,12.833392,,12.9,200.0,,12.94,464.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.529000000,2025-01-14,v,12.74,12.96,12.7,24704.28
PXA.AX,,Market Price,2025-01-15 10:19:47.656155611+11:00,Trade,12.92,1.0,12.833437,,12.9,200.0,,12.94,464.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:19:47.529000000,2025-01-14,v,12.74,12.96,12.7,24717.2
PXA.AX,,Market Price,2025-01-15 10:19:48.630932059+11:00,Trade,12.905,21.0,12.834209,,12.89,191.0,,12.92,81.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],23:19:48.505000000,2025-01-14,v,12.74,12.96,12.7,24988.205
PXA.AX,,Market Price,2025-01-15 10:24:00.715452961+11:00,Trade,12.89,8.0,12.834437,,12.89,116.0,,12.91,214.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:24:00.590000000,2025-01-14,v,12.74,12.96,12.7,25091.325
PXA.AX,,Market Price,2025-01-15 10:24:00.715581146+11:00,Trade,12.89,1.0,12.834466,,12.89,116.0,,12.91,214.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],23:24:00.590000000,2025-01-14,v,12.74,12.96,12.7,25104.215
