#RIC,Alias Underlying RIC,Domain,Date-Time,Type,Price,Volume,Market VWAP,Buyer ID,Bid Price,Bid Size,Seller ID,Ask Price,Ask Size,Qualifiers,Exch Time,Date,Tick Dir.,Open,High,Low,Turnover
PXA.CHA,,Market Price,2025-01-15 14:04:55.684353259+11:00,Trade,12.94,5.0,12.9881,,12.93,109.0,,12.95,207.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:04:55.558784000,2025-01-15, ,12.9,13.06,12.9,182924.0
PXA.AX,,Market Price,2025-01-15 14:04:55.686419159+11:00,Trade,12.94,30.0,12.985313,,12.93,915.0,,12.94,351.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:04:55.558000000,2025-01-15,^,12.74,13.055,12.7,886364.505
PXA.AX,,Market Price,2025-01-15 14:04:55.686419159+11:00,Trade,12.94,321.0,12.985101,,12.93,915.0,,12.95,645.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:04:55.558000000,2025-01-15,^,12.74,13.055,12.7,890518.245
PXA.AX,,Market Price,2025-01-15 14:04:55.785995118+11:00,Trade,12.94,17.0,12.98509,,12.93,1040.0,,12.95,545.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],03:04:55.660000000,2025-01-15,^,12.74,13.055,12.7,890738.225
PXA.AX,,Market Price,2025-01-15 14:04:56.420455320+11:00,Trade,12.94,8.0,12.985085,,12.93,1040.0,,12.95,545.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],03:04:56.293000000,2025-01-15,^,12.74,13.055,12.7,890841.745
PXA.AX,,Market Price,2025-01-15 14:04:56.421207582+11:00,Trade,12.93,3.0,12.985082,,12.93,1040.0,,12.95,545.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:04:56.294000000,2025-01-15,v,12.74,13.055,12.7,890880.535
PXA.AX,,Market Price,2025-01-15 14:05:00.400717751+11:00,Trade,12.94,11.0,12.985075,,12.94,178.0,,12.95,311.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:05:00.276000000,2025-01-15,^,12.74,13.055,12.7,891022.875
PXA.AX,,Market Price,2025-01-15 14:05:39.825554218+11:00,Trade,12.94,24.0,12.985059,,12.94,271.0,,12.95,312.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:05:39.702000000,2025-01-15,^,12.74,13.055,12.7,891333.435
PXA.AX,,Market Price,2025-01-15 14:05:56.685525375+11:00,Trade,12.94,67.0,12.985015,,12.94,307.0,,12.95,257.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:05:56.562000000,2025-01-15,^,12.74,13.055,12.7,892200.415
PXA.CHA,,Market Price,2025-01-15 14:06:07.693991045+11:00,Trade,12.94,11.0,12.9881,,12.94,155.0,,12.95,43.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:06:07.568854000,2025-01-15, ,12.9,13.06,12.9,183067.0
PXA.CHA,,Market Price,2025-01-15 14:06:07.694153097+11:00,Trade,12.94,3.0,12.9881,,12.94,152.0,,12.95,43.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:06:07.568854000,2025-01-15, ,12.9,13.06,12.9,183106.0
PXA.AX,,Market Price,2025-01-15 14:08:03.060470807+11:00,Trade,12.94,35.0,12.984993,,12.94,519.0,,12.95,251.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:08:02.937000000,2025-01-15,^,12.74,13.055,12.7,892653.315
PXA.AX,,Market Price,2025-01-15 14:08:03.061372369+11:00,Trade,12.94,34.0,12.98497,,12.94,450.0,,12.95,251.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:08:02.937000000,2025-01-15,^,12.74,13.055,12.7,893093.275
PXA.AX,,Market Price,2025-01-15 14:08:12.006112800+11:00,Trade,12.94,6.0,12.984966,,12.94,483.0,,12.95,251.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:08:11.879000000,2025-01-15,^,12.74,13.055,12.7,893170.915
PXA.AX,,Market Price,2025-01-15 14:08:12.006112800+11:00,Trade,12.94,6.0,12.984962,,12.94,471.0,,12.95,251.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:08:11.879000000,2025-01-15,^,12.74,13.055,12.7,893248.555
PXA.AX,,Market Price,2025-01-15 14:08:56.230822038+11:00,Trade,12.94,12.0,12.984955,,12.94,504.0,,12.95,324.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:08:56.107000000,2025-01-15,^,12.74,13.055,12.7,893403.835
PXA.CHA,,Market Price,2025-01-15 14:09:02.364318790+11:00,Trade,12.95,1.0,12.9881,,12.94,147.0,,12.95,92.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:09:02.240489000,2025-01-15,^,12.9,13.06,12.9,183119.0
PXA.AX,,Market Price,2025-01-15 14:09:29.631271576+11:00,Trade,12.94,2.0,12.984953,,12.94,492.0,,12.95,316.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:09:29.505000000,2025-01-15,^,12.74,13.055,12.7,893429.715
PXA.AX,,Market Price,2025-01-15 14:09:29.631271576+11:00,Trade,12.94,8.0,12.984948,,12.94,482.0,,12.95,316.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:09:29.505000000,2025-01-15,^,12.74,13.055,12.7,893533.235
PXA.AX,,Market Price,2025-01-15 14:10:01.036159194+11:00,Trade,12.94,12.0,12.98494,,12.94,622.0,,12.95,321.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:00.912000000,2025-01-15,^,12.74,13.055,12.7,893688.515
PXA.AX,,Market Price,2025-01-15 14:10:01.036159194+11:00,Trade,12.94,6.0,12.984936,,12.94,604.0,,12.95,321.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:00.912000000,2025-01-15,^,12.74,13.055,12.7,893766.155
PXA.AX,,Market Price,2025-01-15 14:10:35.955773151+11:00,Trade,12.945,15.0,12.984928,,12.94,641.0,,12.95,328.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],03:10:35.832000000,2025-01-15,^,12.74,13.055,12.7,893960.33
PXA.AX,,Market Price,2025-01-15 14:10:35.955773151+11:00,Trade,12.945,16.0,12.984918,,12.94,641.0,,12.95,328.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],03:10:35.832000000,2025-01-15,^,12.74,13.055,12.7,894167.45
PXA.AX,,Market Price,2025-01-15 14:10:35.955773151+11:00,Trade,12.945,57.0,12.984885,,12.94,641.0,,12.95,328.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],03:10:35.832000000,2025-01-15,^,12.74,13.055,12.7,894905.315
PXA.AX,,Market Price,2025-01-15 14:10:35.955773151+11:00,Trade,12.945,69.0,12.984845,,12.94,641.0,,12.95,328.0,[ACT_FLAG1];CX[GV4_TEXT];CX[LSTSALCOND],03:10:35.832000000,2025-01-15,^,12.74,13.055,12.7,895798.52
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,5.0,12.984843,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,895863.27
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,25.0,12.98483,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,896187.02
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,1.0,12.98483,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,896199.97
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,1.0,12.984829,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,896212.92
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,31.0,12.984814,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,896614.37
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,31.0,12.984798,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,897015.82
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,34.0,12.984781,,12.94,641.0,,12.95,328.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,897456.12
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,7.0,12.984777,,12.94,641.0,,12.95,157.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,897546.77
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,9.0,12.984773,,12.94,641.0,,12.95,157.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,897663.32
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,17.0,12.984764,,12.94,641.0,,12.95,157.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,897883.47
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,2.0,12.984763,,12.94,641.0,,12.95,157.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,897909.37
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,7.0,12.98476,,12.94,641.0,,12.95,157.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,898000.02
PXA.AX,,Market Price,2025-01-15 14:10:36.005554714+11:00,Trade,12.95,1.0,12.984759,,12.94,641.0,,12.95,157.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:35.880000000,2025-01-15,^,12.74,13.055,12.7,898012.97
PXA.CHA,,Market Price,2025-01-15 14:10:36.604582986+11:00,Trade,12.95,25.0,12.988,,12.94,185.0,,12.95,58.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:36.479894000,2025-01-15, ,12.9,13.06,12.9,183442.0
PXA.CHA,,Market Price,2025-01-15 14:10:36.604582986+11:00,Trade,12.95,1.0,12.988,,12.94,185.0,,12.95,56.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:36.479894000,2025-01-15, ,12.9,13.06,12.9,183455.0
PXA.CHA,,Market Price,2025-01-15 14:10:36.604582986+11:00,Trade,12.95,50.0,12.9878,,12.94,185.0,,12.95,1.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:36.479894000,2025-01-15, ,12.9,13.06,12.9,184103.0
PXA.AX,,Market Price,2025-01-15 14:10:36.605459140+11:00,Trade,12.95,1.0,12.984759,,12.94,696.0,,12.95,162.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,898025.92
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,3.0,12.984757,,12.94,696.0,,12.95,162.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,898064.77
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,29.0,12.984743,,12.94,696.0,,12.95,162.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,898440.32
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,28.0,12.984729,,12.94,696.0,,12.95,162.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,898802.92
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,4.0,12.984727,,12.94,696.0,,12.95,162.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,898854.72
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,23.0,12.984715,,12.94,696.0,,12.95,162.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,899152.57
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,50.0,12.98469,,12.94,696.0,,12.96,764.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,899800.07
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,12.0,12.984684,,12.94,696.0,,12.96,664.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,899955.47
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,7.0,12.984681,,12.94,696.0,,12.96,573.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,900046.12
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,2.0,12.98468,,12.94,696.0,,12.96,573.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,900072.02
PXA.AX,,Market Price,2025-01-15 14:10:36.605918933+11:00,Trade,12.95,3.0,12.984678,,12.94,696.0,,12.96,573.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.479000000,2025-01-15,^,12.74,13.055,12.7,900110.87
PXA.AX,,Market Price,2025-01-15 14:10:36.731366828+11:00,Trade,12.95,36.0,12.98466,,12.95,260.0,,12.96,483.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.604000000,2025-01-15,^,12.74,13.055,12.7,900577.07
PXA.AX,,Market Price,2025-01-15 14:10:36.880722553+11:00,Trade,12.96,23.0,12.984652,,12.95,250.0,,12.96,552.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.756000000,2025-01-15,^,12.74,13.055,12.7,900875.15
PXA.AX,,Market Price,2025-01-15 14:10:36.880722553+11:00,Trade,12.96,12.0,12.984648,,12.95,250.0,,12.96,488.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.756000000,2025-01-15,^,12.74,13.055,12.7,901030.67
PXA.AX,,Market Price,2025-01-15 14:10:36.880722553+11:00,Trade,12.96,29.0,12.984637,,12.95,250.0,,12.96,488.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:36.756000000,2025-01-15,^,12.74,13.055,12.7,901406.51
PXA.CHA,,Market Price,2025-01-15 14:10:37.084473762+11:00,Trade,12.95,1.0,12.9878,,12.95,99.0,,12.96,106.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:36.961179000,2025-01-15, ,12.9,13.06,12.9,184116.0
PXA.AX,,Market Price,2025-01-15 14:10:38.435885469+11:00,Trade,12.95,224.0,12.984526,,12.95,284.0,,12.96,516.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:38.313000000,2025-01-15,v,12.74,13.055,12.7,904307.31
PXA.AX,,Market Price,2025-01-15 14:10:38.435885469+11:00,Trade,12.95,20.0,12.984516,,12.95,40.0,,12.96,516.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:38.313000000,2025-01-15,v,12.74,13.055,12.7,904566.31
PXA.CHA,,Market Price,2025-01-15 14:10:38.439015750+11:00,Trade,12.95,15.0,12.9878,,12.95,84.0,,12.96,106.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:38.313330000,2025-01-15, ,12.9,13.06,12.9,184310.0
PXA.AX,,Market Price,2025-01-15 14:10:38.776382448+11:00,Trade,12.95,6.0,12.984513,,12.95,139.0,,12.96,607.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:38.650000000,2025-01-15,v,12.74,13.055,12.7,904644.01
PXA.AX,,Market Price,2025-01-15 14:10:38.776382448+11:00,Trade,12.95,24.0,12.984501,,12.95,109.0,,12.96,607.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:38.650000000,2025-01-15,v,12.74,13.055,12.7,904954.81
PXA.CHA,,Market Price,2025-01-15 14:10:39.749848498+11:00,Trade,12.96,1.0,12.9878,,12.95,124.0,,12.96,153.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:39.625944000,2025-01-15,^,12.9,13.06,12.9,184323.0
PXA.AX,,Market Price,2025-01-15 14:10:44.735447766+11:00,Trade,12.95,9.0,12.984497,,12.95,134.0,,12.96,613.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:44.609000000,2025-01-15,v,12.74,13.055,12.7,905071.36
PXA.AX,,Market Price,2025-01-15 14:10:44.736214648+11:00,Trade,12.95,1.0,12.984496,,12.95,134.0,,12.96,613.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:44.609000000,2025-01-15,v,12.74,13.055,12.7,905084.31
PXA.AX,,Market Price,2025-01-15 14:10:44.736214648+11:00,Trade,12.95,20.0,12.984486,,12.95,134.0,,12.96,613.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:10:44.609000000,2025-01-15,v,12.74,13.055,12.7,905343.31
PXA.CHA,,Market Price,2025-01-15 14:10:51.794888900+11:00,Trade,12.95,36.0,12.9877,,12.95,102.0,,12.96,145.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:10:51.670816000,2025-01-15,v,12.9,13.06,12.9,184789.0
PXA.CHA,,Market Price,2025-01-15 14:10:51.799924101+11:00,Trade,12.955,11.0,12.9877,,12.95,34.0,,12.96,145.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",03:10:51.674432000,2025-01-15,^,12.9,13.06,12.9,184932.0
PXA.AX,,Market Price,2025-01-15 14:13:55.650603749+11:00,Trade,12.96,1.0,12.984486,,12.95,436.0,,12.96,990.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:13:55.527000000,2025-01-15,^,12.74,13.055,12.7,905356.27
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,29.0,12.984476,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,905732.11
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,24.0,12.984467,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,906043.15
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,35.0,12.984455,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,906496.75
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,37.0,12.984442,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,906976.27
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,10.0,12.984439,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,907105.87
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,35.0,12.984426,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,907559.47
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,21.0,12.984419,,12.95,677.0,,12.96,1032.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,907831.63
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,55.0,12.9844,,12.95,677.0,,12.96,732.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,908544.43
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,28.0,12.98439,,12.95,677.0,,12.96,732.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,908907.31
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,8.0,12.984387,,12.95,677.0,,12.96,732.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,909010.99
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,12.0,12.984383,,12.95,677.0,,12.96,732.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,909166.51
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,3.0,12.984382,,12.95,677.0,,12.96,732.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,909205.39
PXA.AX,,Market Price,2025-01-15 14:14:45.495582870+11:00,Trade,12.96,3.0,12.984381,,12.95,677.0,,12.96,735.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:45.371000000,2025-01-15,^,12.74,13.055,12.7,909244.27
PXA.AX,,Market Price,2025-01-15 14:14:53.650467533+11:00,Trade,12.95,24.0,12.984369,,12.95,698.0,,12.96,766.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:53.526000000,2025-01-15,v,12.74,13.055,12.7,909555.07
PXA.AX,,Market Price,2025-01-15 14:14:56.870449939+11:00,Trade,12.95,10.0,12.984364,,12.95,711.0,,12.96,756.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:14:56.743000000,2025-01-15,v,12.74,13.055,12.7,909684.57
PXA.AX,,Market Price,2025-01-15 14:15:21.806157974+11:00,Trade,12.95,45.0,12.984342,,12.95,629.0,,12.96,826.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:15:21.679000000,2025-01-15,v,12.74,13.055,12.7,910267.32
PXA.AX,,Market Price,2025-01-15 14:15:21.806157974+11:00,Trade,12.95,20.0,12.984333,,12.95,629.0,,12.96,826.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:15:21.679000000,2025-01-15,v,12.74,13.055,12.7,910526.32
PXA.AX,,Market Price,2025-01-15 14:15:21.806157974+11:00,Trade,12.95,5.0,12.98433,,12.95,629.0,,12.96,826.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:15:21.679000000,2025-01-15,v,12.74,13.055,12.7,910591.07
PXA.AX,,Market Price,2025-01-15 14:15:21.806157974+11:00,Trade,12.95,2.0,12.984329,,12.95,629.0,,12.96,826.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:15:21.679000000,2025-01-15,v,12.74,13.055,12.7,910616.97
PXA.CHA,,Market Price,2025-01-15 14:15:33.549051353+11:00,Trade,12.96,1.0,12.9877,,12.95,101.0,,12.96,204.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",03:15:33.424165000,2025-01-15,^,12.9,13.06,12.9,184945.0
PXA.CHA,,Market Price,2025-01-15 14:16:43.269843878+11:00,Trade,12.955,2.0,12.9877,,12.95,123.0,,12.96,204.0,"S[GV4_TEXT];NBBO[TRD_IND_1];S[LSTSALCOND];S[CONDCODE_1];""OB   ""[TR_TRD_FLG]",03:16:43.143408000,2025-01-15,v,12.9,13.06,12.9,184970.0
PXA.AX,,Market Price,2025-01-15 14:17:11.655636891+11:00,Trade,12.96,1.0,12.984329,,12.95,802.0,,12.96,869.0,B[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:17:11.529000000,2025-01-15,^,12.74,13.055,12.7,910629.93
PXA.AX,,Market Price,2025-01-15 14:17:39.640725725+11:00,Trade,12.95,10.0,12.984324,,12.95,802.0,,12.96,994.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:17:39.514000000,2025-01-15,v,12.74,13.055,12.7,910759.43
PXA.AX,,Market Price,2025-01-15 14:17:39.760418325+11:00,Trade,12.95,70.0,12.98429,,12.95,792.0,,12.96,994.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:17:39.635000000,2025-01-15,v,12.74,13.055,12.7,911665.93
PXA.CHA,,Market Price,2025-01-15 14:17:47.934949396+11:00,Trade,12.95,13.0,12.9876,,12.95,73.0,,12.96,299.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];[CONDCODE_1];""OB   ""[TR_TRD_FLG]",03:17:47.810949000,2025-01-15,v,12.9,13.06,12.9,185139.0
PXA.CHA,,Market Price,2025-01-15 14:17:47.934949396+11:00,Trade,12.95,7.0,12.9876,,12.95,66.0,,12.96,449.0,"[GV4_TEXT];[TRD_IND_1];[LSTSALCOND];""OB   ""[TR_TRD_FLG]",03:17:47.811167000,2025-01-15, ,12.9,13.06,12.9,185229.0
PXA.AX,,Market Price,2025-01-15 14:17:47.935605576+11:00,Trade,12.95,50.0,12.984265,,12.95,722.0,,12.96,1144.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:17:47.810000000,2025-01-15,v,12.74,13.055,12.7,912313.43
PXA.AX,,Market Price,2025-01-15 14:17:47.935605576+11:00,Trade,12.95,48.0,12.984242,,12.95,722.0,,12.96,1144.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:17:47.810000000,2025-01-15,v,12.74,13.055,12.7,912935.03
PXA.AX,,Market Price,2025-01-15 14:17:47.935605576+11:00,Trade,12.95,43.0,12.984221,,12.95,722.0,,12.96,1144.0,S[ACT_FLAG1];[GV4_TEXT];[LSTSALCOND],03:17:47.810000000,2025-01-15,v,12.74,13.055,12.7,913491.88
